rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,roast_level,price_category
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Medium Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,High Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Medium Price
91.0,7.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Light,Medium Price
92.0,8.0,8.0,9.0,9.0,8.0,0.0,Light,Low Price
95.0,8.0,9.0,10.0,9.0,9.0,0.0,Light,Low Price
92.0,8.0,7.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,9.0,9.0,9.0,9.0,8.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
90.0,8.0,7.0,8.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,9.0,Medium,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,9.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,9.0,Medium-Light,Medium Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,High Price
91.0,8.0,7.0,8.0,9.0,9.0,0.0,Medium,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
91.0,8.0,8.0,8.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,0.0,Light,Medium Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Medium Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
91.0,8.0,8.0,8.0,8.0,9.0,0.0,Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Light,Low Price
92.0,9.0,8.0,8.0,8.0,9.0,9.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,9.0,9.0,8.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,9.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Light,High Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,High Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,High Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
90.0,8.0,8.0,8.0,8.0,8.0,0.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,9.0,9.0,8.0,9.0,0.0,Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
91.0,8.0,7.0,8.0,9.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Low Price
96.0,9.0,9.0,10.0,8.0,10.0,0.0,Medium-Light,Medium Price
93.0,9.0,8.0,9.0,8.0,9.0,9.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,9.0,Medium-Light,Low Price
92.0,8.0,8.0,8.0,9.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
92.0,9.0,8.0,8.0,9.0,8.0,9.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Medium-Light,Medium Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Light,Medium Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
93.0,9.0,8.0,9.0,8.0,9.0,9.0,Medium,Medium Price
91.0,8.0,7.0,9.0,8.0,9.0,0.0,Medium,Low Price
92.0,8.0,8.0,9.0,8.0,9.0,0.0,Light,Low Price
93.0,8.0,8.0,9.0,9.0,9.0,0.0,Medium,Low Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Low Price
95.0,9.0,9.0,9.0,9.0,9.0,0.0,Light,High Price
94.0,9.0,8.0,9.0,9.0,9.0,0.0,Medium-Light,Medium Price
